visible_link,effective_query,title,page_number,snippet,link,requested_at,domain,num_results,search_engine_name,query,link_type,requested_by,rank,num_results_for_keyword,scrapemethod
www.hellomagazine.com/,0,"HELLO! Online: celebrity & royal news, magazine, babies, weddings ...",1,"HELLO! Online brings you the latest celebrity & royal news from the UK & around 
the world, magazine exclusives, celeb babies, weddings, pregnancies and ...",http://www.hellomagazine.com/,2015-01-16 15:48:50.172198,www.hellomagazine.com,50,google,hello,results,localhost,1,Ungefähr 673.000.000 Ergebnisse,http
www.hellomagazine.com/royalty/,0,"Latest royal news, photos, weddings and history - HELLO! Online",1,"HELLO! homepage, The place for daily celebrity, fashion and beauty news. 
Subscriptions. Subscribe to HELLO! and save up to 40%. Subscribe ...",http://www.hellomagazine.com/royalty/,2015-01-16 15:48:50.172198,www.hellomagazine.com,50,google,hello,results,localhost,2,Ungefähr 673.000.000 Ergebnisse,http
de.wikipedia.org/wiki/Hello_(Band),0,Hello (Band)  Wikipedia,1,"Hello war eine britische Glam-Rock-Band der 1970er Jahre. Neben Bands wie 
The Sweet, Slade, Mud, The Glitter Band und anderen gehörten Hello zu den ...",http://de.wikipedia.org/wiki/Hello_(Band),2015-01-16 15:48:50.172198,de.wikipedia.org,50,google,hello,results,localhost,3,Ungefähr 673.000.000 Ergebnisse,http
OK! Magazin,0,News zu hello,1,None,/search?q=hello&num=50&ie=UTF-8&prmd=ivnsa&source=univ&tbm=nws&tbo=u&sa=X&ei=4jK5VIX0BoKyPc7-gLgI&ved=0CCsQqAI,2015-01-16 15:48:50.172198,,50,google,hello,results,localhost,4,Ungefähr 673.000.000 Ergebnisse,http
www.hello-muenchen.de/,0,Hello München | Werbeagentur für Kommunikation | München ...,1,"Hello wurde 2008 in München gegründet und beschäftigt inzwischen über 70 
Mitarbeiter mit 23 Werbeetats aus Deutschland, Österreich und der Schweiz.",http://www.hello-muenchen.de/,2015-01-16 15:48:50.172198,www.hello-muenchen.de,50,google,hello,results,localhost,5,Ungefähr 673.000.000 Ergebnisse,http
None,0,Bilder zu hello,1,None,/images?q=hello&num=50&gws_rd=cr&hl=de&sa=X&oi=image_result_group&ei=4jK5VIX0BoKyPc7-gLgI&ved=0CDgQsAQ,2015-01-16 15:48:50.172198,,50,google,hello,results,localhost,6,Ungefähr 673.000.000 Ergebnisse,http
www.hello.com/,0,Hello.com,1,"Hello is a passion-based social network designed for thrill-seekers and 
daydreamers alike.",http://www.hello.com/,2015-01-16 15:48:50.172198,www.hello.com,50,google,hello,results,localhost,7,Ungefähr 673.000.000 Ergebnisse,http
https://evernote.com/intl/de/hello/,0,Evernote Hello | Evernote,1,"Es ist nicht immer leicht, sich alle Menschen zu merken. Mit Evernote Hello 
können Sie Personen, Begegnungen und gemeinsame Erlebnisse festhalten 
und ...",https://evernote.com/intl/de/hello/,2015-01-16 15:48:50.172198,evernote.com,50,google,hello,results,localhost,8,Ungefähr 673.000.000 Ergebnisse,http
https://hello.is/,0,Hello,1,"Sense by Hello is a simple system that tracks your sleep behavior, monitors the 
environment of your bedroom and reinvents the alarm.",https://hello.is/,2015-01-16 15:48:50.172198,hello.is,50,google,hello,results,localhost,9,Ungefähr 673.000.000 Ergebnisse,http
www.youtube.com/watch?v=kK42LZqO0wA,0,Martin Solveig & Dragonette - Hello (Official Short Video Version HD ...,1,None,http://www.youtube.com/watch?v=kK42LZqO0wA,2015-01-16 15:48:50.172198,www.youtube.com,50,google,hello,results,localhost,10,Ungefähr 673.000.000 Ergebnisse,http
www.hello-online.de/,0,hello.de | hello-online.de - New Customer Intelligence,1,"Als Customer Development Unternehmen entwickelt hello.de neuartige 
Kundenbeziehungen und Wertschöpfungsmodelle auf Basis neuartigem ...",http://www.hello-online.de/,2015-01-16 15:48:50.172198,www.hello-online.de,50,google,hello,results,localhost,11,Ungefähr 673.000.000 Ergebnisse,http
https://support.mozilla.org/.../firefox-hello-video-and-voice-conversations- online,0,Firefox Hello - video and voice conversations online | Firefox Help,1,"Firefox Hello lets you make free video and voice calls directly from the browser. 
All you need are a microphone, a webcam (optional), and the latest version of ...",https://support.mozilla.org/en-US/kb/firefox-hello-video-and-voice-conversations-online,2015-01-16 15:48:50.172198,support.mozilla.org,50,google,hello,results,localhost,12,Ungefähr 673.000.000 Ergebnisse,http
