num_results_for_query,requested_at,link,scrape_method,num_results,domain,effective_query,query,visible_link,search_engine_name,page_number,link_type,requested_by,snippet,title,rank
2.310.000 results,2015-01-19 18:53:41.788455,http://de.wikipedia.org/wiki/Adrenocorticotropin,http-async,10,de.wikipedia.org,0,ACTH's,de.wikipedia.org/wiki/Adrenocorticotropin,bing,1,results,,None,Adrenocorticotropin – Wikipedia,1
2.310.000 results,2015-01-19 18:53:41.788455,http://flexikon.doccheck.com/de/ACTH,http-async,10,flexikon.doccheck.com,0,ACTH's,flexikon.doccheck.com/de/ACTH,bing,1,results,,"1 Definition. ACTH ist ein im Hypophysenvorderlappen synthetisiertes, die Nebennierenrindenfunktion regulierendes Hormon. 2 Struktur. Das Peptidhormon ACTH ...",ACTH - DocCheck Flexikon,2
2.310.000 results,2015-01-19 18:53:41.788455,http://www.acths.org/,http-async,10,www.acths.org,0,ACTH's,www.acths.org,bing,1,results,,www.acths.org,www.acths.org,3
2.310.000 results,2015-01-19 18:53:41.788455,http://labtestsonline.org/understanding/analytes/acth/tab/test,http-async,10,labtestsonline.org,0,ACTH's,labtestsonline.org/understanding/analytes/acth/tab/test,bing,1,results,,"10.01.2013 · Describes when an ACTH test is ordered, how the ACTH test is used, and what the resutls of an ACTH test might mean",ACTH: The Test | Adrenocorticotropic Hormone,4
2.310.000 results,2015-01-19 18:53:41.788455,http://www.apotheken-umschau.de/laborwerte/acth,http-async,10,www.apotheken-umschau.de,0,ACTH's,www.apotheken-umschau.de › Diagnostik-Therapie › Laborwerte,bing,1,results,,"Das adrenocorticotrope Hormon (ACTH) ist ein lebenswichtiges Hormon, das Einfluss auf den Zucker-, Wasser- und Mineralstoffwechsel hat",ACTH: Das adrenocorticotrope Hormon | …,5
2.310.000 results,2015-01-19 18:53:41.788455,http://www.anfallskind.de/acth.htm,http-async,10,www.anfallskind.de,0,ACTH's,www.anfallskind.de/acth.htm,bing,1,results,,"Die ACTH - Behandlung und die Steroid-Behandlung (siehe unten) ACTH (=adrenocorticotropes Hormon) ist ein Hormon der Hirnanhangsdrüse, das - wie der …",ACTH - Das Anfallskind,6
2.310.000 results,2015-01-19 18:53:41.788455,http://www.netdoktor.de/Diagnostik+Behandlungen/Laborwerte/ACTH-Adrenokortikotropes-Hormo-1014.html,http-async,10,www.netdoktor.de,0,ACTH's,www.netdoktor.de/Diagnostik+Behandlungen/Laborwerte/ACTH-Adrenokor...,bing,1,results,,"ACTH (Adrenokortikotropes Hormon) Von Dr. med. Karlheinz Zeilberger, Facharzt für Innere Medizin. Was ist ACTH? ACTH ist die Abkürzung für ...",ACTH (Adrenokortikotropes Hormon) - …,7
2.310.000 results,2015-01-19 18:53:41.788455,http://en.wikipedia.org/wiki/Adrenocorticotropic_hormone,http-async,10,en.wikipedia.org,0,ACTH's,en.wikipedia.org/wiki/Adrenocorticotropic_hormone,bing,1,results,,None,"Adrenocorticotropic hormone - Wikipedia, the free …",8
2.310.000 results,2015-01-19 18:53:41.788455,http://www.medizinfo.de/labormedizin/hormone/acth.shtml,http-async,10,www.medizinfo.de,0,ACTH's,www.medizinfo.de/labormedizin/hormone/acth.shtml,bing,1,results,,ACTH ist ein Hormon der Hypophyse: Die Abkürzung ACTH steht für adrenokortikotropes Hormon (nebennierenrindenstimulierendes Hormon). Dieses Hormon wird ...,ACTH - MedizInfo®: Medizin und Gesundheit,9
2.310.000 results,2015-01-19 18:53:41.788455,http://www.memidex.com/acths,http-async,10,www.memidex.com,0,ACTH's,www.memidex.com/acths,bing,1,results,,"""ACTHs"" is a plural form of ""ACTH"": a hormone produced by the anterior pituitary gland that stimulates the adrenal cortex. Synonyms...",ACTHs - Memidex - free online dictionary/thesaurus and more...,10
